"#{""t_start"": 1543729345.3484435"," ""env_id"": ""BaxterReachEnv-v11""}",
r,l,t
-97.528082,100,977.020341
-81.694613,100,979.47294
-102.296859,100,981.885756
-111.568156,100,984.205482
-68.954366,100,986.554617
-79.685774,100,989.102819
-103.834375,100,991.288707
-77.201167,100,993.701371
-90.534587,100,996.115875
-133.294539,100,998.147396
-78.782079,100,1000.450864
-112.001711,100,1002.685918
-128.069235,100,1005.232798
-89.596027,100,1007.719496
-73.725056,100,1010.197481
-100.610936,100,1012.504194
-114.847179,100,1014.765463
-108.71524,100,1017.084481
-67.849288,100,1019.619566
-87.112185,100,1022.085797
-115.393491,100,1024.371263
-145.898703,100,1026.693292
-120.691615,100,1028.910446
-113.234063,100,1031.166564
-89.5269,100,1033.631545
-119.385361,100,1035.876981
-110.843857,100,1038.235015
-92.861146,100,1040.582835
-95.369181,100,1043.098944
-114.172461,100,1045.32136
-125.764677,100,1047.550768
-90.37916,100,1049.907675
-92.658184,100,1052.319777
-86.856464,100,1054.858979
-94.853396,100,1057.289139
-85.672654,100,1059.811287
-82.029279,100,1062.220811
-111.89907,100,1064.5751
-88.917415,100,1066.961629
-96.68576,100,1069.504738
-90.440481,100,1071.768363
-94.583986,100,1074.020779
-82.031722,100,1076.353924
-105.857465,100,1078.695396
-93.069783,100,1081.096232
-95.841558,100,1083.504909
-91.902278,100,1085.807424
-121.893795,100,1087.946502
-113.97835,100,1090.194142
-94.776707,100,1092.744043
-96.247076,100,1095.291188
-125.105147,100,1097.447931
-100.939503,100,1099.92536
-106.487271,100,1102.374286
-119.848817,100,1104.560138
-103.478802,100,1107.058787
-100.166491,100,1109.280421
-112.387873,100,1111.724092
-126.869797,100,1114.0231
-124.059763,100,1116.490973
-103.343366,100,1119.039199
-167.001556,100,1121.01286
-150.768215,100,1123.114146
-113.787322,100,1125.60193
-104.954632,100,1128.025695
-124.99034,100,1130.178471
-116.462663,100,1132.479811
-108.011832,100,1134.989835
-114.105709,100,1137.381704
-110.965972,100,1139.715577
-120.827165,100,1141.902999
-120.175409,100,1144.470309
-107.89405,100,1146.994057
-118.203538,100,1149.324612
-113.993441,100,1151.874497
-119.34289,100,1154.291888
-134.895521,100,1156.522358
-111.629879,100,1158.958675
-105.31992,100,1161.551235
-108.600682,100,1163.953025
-124.54221,100,1166.22737
-111.016984,100,1168.79277
-104.318158,100,1171.194781
-104.5926,100,1173.706473
-124.015524,100,1176.201851
-115.021714,100,1178.632149
-114.340861,100,1181.130226
-116.407403,100,1183.254398
-106.93443,100,1185.719337
-96.630211,100,1188.262153
-101.321616,100,1190.681041
-102.486069,100,1193.093473
-109.89338,100,1195.445512
-112.318234,100,1197.944918
-124.913702,100,1200.43205
-109.330113,100,1202.88194
-112.507216,100,1205.301791
-97.461034,100,1207.542864
-116.122921,100,1209.924233
-120.089223,100,1212.306661
-127.641948,100,1214.675704
-117.688827,100,1217.082486
-113.356652,100,1219.4787
-115.659991,100,1222.111789
-131.672652,100,1224.479726
-108.737804,100,1227.022311
-124.354716,100,1229.387061
-127.324971,100,1231.725664
-118.329625,100,1234.091242
-124.855511,100,1236.572216
-126.208123,100,1239.066631
-131.681114,100,1241.450995
-131.511319,100,1243.791058
-112.229974,100,1246.204777
-124.300648,100,1248.537139
-123.303215,100,1250.938916
-119.344824,100,1253.296411
-125.422641,100,1255.706616
-118.529998,100,1257.995428
-121.101678,100,1260.076895
-118.830638,100,1262.403202
-114.10774,100,1264.797874
-125.884623,100,1267.075843
-121.108237,100,1269.253931
-119.572618,100,1271.793238
-115.019453,100,1274.123641
-119.829743,100,1276.594953
-107.828835,100,1278.985102
-119.026891,100,1281.256759
-120.475074,100,1283.614012
-124.821142,100,1286.033842
-109.690163,100,1288.514087
-124.636059,100,1291.04519
-124.634649,100,1293.466969
-118.08044,100,1295.703034
-127.106569,100,1298.106627
-117.05606,100,1300.628259
-127.814913,100,1302.907482
-131.170583,100,1305.289689
